year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths
2025,13,2025-02-27,2025-03-27,Kerala,Kozhikode,West Nile Fever,Reported,2,1
2025,13,2025-03-24,2025-03-26,Kerala,Thrissur,Dengue,Reported,17,0
2025,13,2025-03-22,2025-03-24,Kerala,Wayanad,Acute Diarrheal Disease,Reported,16,0
2025,13,2025-03-27,2025-03-27,Madhya,Damoh,Measles,Reported,36,0
2025,13,2025-03-25,2025-03-25,Madhya,Narsinghpur,Chickenpox,Reported,7,0
2025,13,2025-03-26,2025-03-27,Odisha,Khordha,Hepatitis A,Reported,0,0
2025,13,2025-03-27,2025-03-29,Tamil Nadu,Coimbatore,Chickenpox,Reported,22,0
2025,13,2025-03-30,2025-03-30,Tamil Nadu,Dharmapuri,Chickenpox,Reported,18,0
2025,13,2025-03-28,2025-03-29,Tamil Nadu,Dindigul,Acute Diarrheal Disease,Reported,51,0
2025,13,2025-03-24,2025-03-25,Tamil Nadu,Dindigul,Chickenpox,Reported,10,0
2025,13,2025-03-23,2025-03-25,Tamil Nadu,Kanniyakumari,Food Poisoning,Reported,18,0
2025,13,2025-03-27,2025-03-28,Tamil Nadu,Theni,Chickenpox,Reported,6,0
2025,13,2025-03-22,2025-03-28,West Bengal,Hooghly,Typhoid,Reported,18,0
2025,13,2025-01-27,,Andhra Pradesh,Guntur,Cholera,Reported Late,18,0
2025,13,2025-03-14,,Chhattisgarh,Bilaspur,Measles,Reported Late,31,0
2025,13,2025-02-27,,Jharkhand,Giridih,Chickenpox,Reported Late,7,0
2025,13,2025-02-24,,Madhya Pradesh,Rewa,Scrub Typhus,Reported Late,17,0
2025,13,2025-03-18,,Madhya Pradesh,Shivpuri,Measles,Reported Late,6,0
2025,13,2025-03-18,,Manipur,Ukhrul,Measles,Reported Late,37,0
2025,13,2025-03-18,,Meghalaya,South West Garo Hills,Chickenpox,Reported Late,3,0
2025,12,2025-03-18,2025-03-18,Assam,Bongaigaon,Chickenpox,Reported,8,0
2025,12,2025-03-20,2025-03-21,Bihar,Begusarai,Fever with Rash,Reported,32,0
2025,12,2025-03-21,2025-03-21,Bihar,Begusarai,Fever with Rash,Reported,10,0
2025,12,2025-03-18,2025-03-20,Chhattisgarh,Raipur,Typhoid,Reported,11,0
2025,12,2025-03-17,2025-03-17,Gujarat,Ahmedabad,Cholera,Reported,71,0
2025,12,2025-03-18,2025-03-18,Gujarat,Jamnagar,Measles,Reported,4,0
2025,12,2025-03-16,2025-03-17,Gujarat,Patan,Hepatitis A,Reported,10,0
2025,12,2025-03-22,2025-03-22,Jammu and Kashmir,Jammu,HMPV,Reported,1,1
2025,12,2025-03-15,2025-03-22,Jammu and Kashmir,Jammu,Hepatitis A,Reported,10,0
2025,12,2025-03-17,2025-03-18,Jharkhand,Dumka,Chickenpox,Reported,18,0
2025,12,2025-03-22,2025-03-23,Jharkhand,East Singhbhum,Chickenpox,Reported,14,0
2025,12,2025-03-23,2025-03-23,Jharkhand,Sahebganj,Malaria,Reported,67,0
2025,12,2025-03-16,2025-03-19,Karnataka,Chitradurga,Food Poisoning,Reported,40,0
2025,12,2025-03-17,2025-03-18,Karnataka,Davangere,Food Poisoning,Reported,24,0
2025,12,2025-03-18,2025-03-18,Karnataka,Hassan,Acute Diarrheal Disease,Reported,11,0
2025,12,2025-03-16,2025-03-17,Karnataka,Mandya,Food Poisoning,Reported,128,2
2025,12,2025-03-21,2025-03-23,Kerala,Ernakulam,Chickenpox,Reported,18,0
2025,12,2025-03-15,2025-03-22,Kerala,Kannur,Hepatitis A,Reported,40,0
2025,12,2025-03-14,2025-03-18,Kerala,Kannur,Hepatitis A,Reported,39,0
2025,12,2025-03-15,2025-03-21,Kerala,Kottayam,Hepatitis A,Reported,9,0
2025,12,2025-03-17,2025-03-19,Kerala,Kottayam,Acute Diarrheal Disease,Reported,28,0
2025,12,2025-03-13,2025-03-18,Kerala,Kottayam,Hepatitis A,Reported,21,0
2025,12,2025-03-15,2025-03-17,Kerala,Kottayam,Acute Diarrheal Disease,Reported,56,0
2025,12,2025-03-17,2025-03-20,Kerala,Malappuram,Mpox,Reported,1,0
2025,12,2025-03-18,2025-03-18,Kerala,Wayanad,Hepatitis A,Reported,42,0
2025,12,2025-03-13,2025-03-18,Madhya Pradesh,Narsinghpur,Mumps,Reported,4,0
2025,12,2025-03-17,2025-03-17,Maharashtra,Kolhapur,Hepatitis A,Reported,15,1
2025,12,2025-03-21,2025-03-22,Manipur,Senapati,Others,Reported,52,0
2025,12,2025-03-16,2025-03-21,Meghalaya,West Khasi Hills,Human Rabies,Reported,1,1
2025,12,2025-03-20,2025-03-20,Tamil Nadu,Salem,Mumps,Reported,10,0
2025,12,2025-03-23,2025-03-23,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,13,0
2025,12,2025-03-21,2025-03-22,Tamil Nadu,Tenkasi,Hepatitis A and E,Reported,9,0
2025,12,2025-03-19,2025-03-23,Tamil Nadu,Theni,Chickenpox,Reported,6,0
2025,12,2025-03-20,2025-03-20,Uttarakhand,Dehradun,Hepatitis A,Reported,12,0
2025,12,2025-03-22,2025-03-22,West Bengal,24 Paraganas South,Food Poisoning,Reported,97,0
2025,12,2025-03-19,2025-03-21,West Bengal,Howrah,Chickenpox,Reported,19,0
2025,12,2025-03-17,2025-03-17,West Bengal,Medinipur East,Food Poisoning,Reported,80,0
2025,12,2025-03-20,2025-03-21,West Bengal,Medinipur West,Acute Gastroenteritis,Reported,35,0
2025,12,2025-03-19,2025-03-20,West Bengal,Purba Bardhaman,Acute Diarrheal Disease,Reported,15,0
2025,12,2025-03-11,,Assam,Tamulpur,Human Rabies,Reported Late,1,1
2025,12,2025-03-06,,Jharkhand,Ranchi,Measles,Reported Late,6,0
2025,12,2025-03-07,,Madhya Pradesh,Bhopal,Measles,Reported Late,7,0
2025,12,2025-02-20,,Sikkim,Gyalshing,Typhoid,Reported Late,19,0
2025,11,2025-03-08,2025-03-13,Andhra Pradesh,Parvathipuram Manyam,Acute Diarrheal Disease,Reported,19,0
2025,11,2025-03-11,2025-03-11,Assam,Barpeta,Fever,Reported,29,0
2025,11,2025-03-10,2025-03-11,Assam,Charaideo,Mumps,Reported,4,0
2025,11,2025-03-13,2025-03-13,Assam,Hailakandi,Fever with Rash,Reported,15,0
2025,11,2025-03-07,2025-03-10,Bihar,Purnia,Acute Diarrheal Disease,Reported,8,0
2025,11,2025-03-10,2025-03-10,Gujarat,Sabarkantha,Fever with Rash,Reported,7,0
2025,11,2025-03-11,2025-03-11,Jammu and Kashmir,Badgam,Human Rabies,Reported,1,1
2025,11,2025-03-09,2025-03-10,Jharkhand,Dumka,Fever with Rash,Reported,8,0
2025,11,2025-03-11,2025-03-11,Jharkhand,East Singhbum,Chickenpox,Reported,25,0
2025,11,2025-03-10,2025-03-10,Jharkhand,East Singhbum,Chickenpox,Reported,22,0
2025,11,2025-03-11,2025-03-11,Jharkhand,Khunti,Chickenpox,Reported,25,0
2025,11,2025-03-13,2025-03-13,Karnataka,Belagavi,Hepatitis A,Reported,16,0
2025,11,2025-03-13,2025-03-13,Karnataka,Chikballapur,Acute Diarrheal Disease,Reported,21,0
2025,11,2025-03-10,2025-03-10,Karnataka,Chikballapur,Acute Diarrheal Disease,Reported,12,0
2025,11,2025-03-07,2025-03-10,Karnataka,Hassan,Food Poisoning,Reported,14,0
2025,11,2025-03-11,2025-03-13,Kerala,Ernakulam,Meningitis,Reported,5,0
2025,11,2025-03-14,2025-03-14,Kerala,Kozhikode,Hepatitis A,Reported,58,0
2025,11,2025-03-13,2025-03-13,Kerala,Palakkad,Food Poisoning,Reported,152,0
2025,11,2025-03-08,2025-03-10,Kerala,Palakkad,Acute Diarrheal Disease,Reported,10,0
2025,11,2025-03-12,2025-03-12,Madhya Pradesh,Datia,Food Poisoning,Reported,51,0
2025,11,2025-03-12,2025-03-12,Madhya Pradesh,Dindori,Malaria,Reported,9,0
2025,11,2025-03-10,2025-03-10,Madhya Pradesh,Gwalior,Measles,Reported,5,0
2025,11,2025-03-12,2025-03-12,Maharashtra,Bhandara,Acute Diarrheal Disease,Reported,24,0
2025,11,2025-03-10,2025-03-10,Maharashtra,Bhandara,Fever with Rash,Reported,13,0
2025,11,2025-03-10,2025-03-13,Maharashtra,Jalgaon,Measles,Reported,3,0
2025,11,2025-03-10,2025-03-10,Nagaland,Dimapur,Human Rabies,Reported,1,1
2025,11,2025-03-07,2025-03-10,Punjab,Sri Muktsar Sahib,Chickenpox,Reported,27,0
2025,11,2025-03-10,2025-03-10,Rajasthan,Jalore,Food Poisoning,Reported,22,0
2025,11,2025-03-12,2025-03-12,Tamil Nadu,Coimbatore,Chickenpox,Reported,15,0
2025,11,2025-03-10,2025-03-11,Tamil Nadu,Mayiladuthurai,Mumps,Reported,20,0
2025,11,2025-03-14,2025-03-15,Tamil Nadu,Ranipet,Human Rabies,Reported,1,1
2025,11,2025-03-08,2025-03-10,Tamil Nadu,Tirupathur,Chickenpox,Reported,15,0
2025,11,2025-03-13,2025-03-13,Tripura,South Tripura,Food Poisoning,Reported,85,0
2025,11,2025-03-11,2025-03-13,West Bengal,Howrah,Hepatitis A,Reported,22,0
2025,11,2025-03-12,2025-03-12,West Bengal,Medinipur East,Acute Diarrheal Disease,Reported,59,0
2025,11,2025-03-11,2025-03-13,West Bengal,Medinipur West,Acute Diarrheal Disease,Reported,14,0
2025,11,2025-03-07,2025-03-11,West Bengal,Paschim Bardhaman,Hepatitis A,Reported,42,0
2025,11,2025-03-06,,Bihar,Munger,Fever with Rash,Reported,9,0
2025,11,2025-02-13,,Karnataka,Bagalkot,Chickenpox,Reported,7,0
2025,11,2025-03-05,,Kerala,Alappuzha,Mpox,Reported,1,0
2025,11,2025-03-06,,Kerala,Kottayam,Mumps,Reported,17,0
2025,11,2025-02-27,,Mizoram,Lawngtlai,Measles,Reported,4,0
2025,11,2025-02-10,,Odisha,Malkangiri,Food Poisoning,Reported,30,0
2025,10,2025-02-28,2025-03-03,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,Reported,19,2
2025,10,2025-03-06,2025-03-06,Assam,Bongaigaon,Acute Diarrheal Disease,Reported,5,0
2025,10,2025-03-07,2025-03-07,Assam,Nagaon,Human Rabies,Reported,1,1
2025,10,2025-03-04,2025-03-05,Assam,Nagaon,Human Rabies,Reported,1,1
2025,10,2025-02-28,2025-03-03,Bihar,Jehanabad,Chickenpox,Reported,11,0
2025,10,2025-02-05,2025-03-06,Bihar,Samastipur,Fever with Rash,Reported,7,0
2025,10,2025-03-08,2025-03-09,Bihar,Vaishali,Fever with Rash,Reported,8,0
2025,10,2025-03-07,2025-03-07,Chhattisgarh,Dantewada,Food Poisoning,Reported,11,0
2025,10,2025-02-03,2025-03-03,Chhattisgarh,Durg,Jaundice,Reported,71,0
2025,10,2025-03-06,2025-03-07,Chhattisgarh,Surguja,Food Poisoning,Reported,10,0
2025,10,2025-03-01,2025-03-03,Gujarat,Kachchh,Acute Diarrheal Disease,Reported,12,0
2025,10,2025-03-07,2025-03-08,Gujarat,Panchmahals,Acute Hepatitis A,Reported,16,0
2025,10,2025-03-04,2025-03-04,Jammu and Kashmir,Badgam,Rabies,Reported,1,1
2025,10,2025-03-03,2025-03-03,Jharkhand,Latehar,Paratyphoid,Reported,30,0
2025,10,2025-03-03,2025-03-03,Jharkhand,Latehar,Paratyphoid,Reported,68,0
2025,10,2025-03-08,2025-03-08,Jharkhand,West Singhbhum,Fever with Rash,Reported,9,0
2025,10,2025-03-06,2025-03-06,Karnataka,Dakshin Kannad,,Reported,57,0
2025,10,2025-03-03,2025-03-03,Karnataka,Mandya,Cholera,Reported,39,0
2025,10,2025-03-08,2025-03-08,Kerala,Ernakulam,Dengue,Reported,9,0
2025,10,2025-02-28,2025-03-03,Kerala,Ernakulam,Acute Gastroenteritis,Reported,9,0
2025,10,2025-03-06,2025-03-06,Kerala,Palakkad,Hepatitis A,Reported,45,0
2025,10,2025-03-07,2025-03-09,Kerala,Pathanamthitta,Acute Gastroenteritis,Reported,102,0
2025,10,2025-03-05,2025-03-05,Kerala,Pathanamthitta,Mumps,Reported,17,0
2025,10,2025-03-04,2025-03-05,Kerala,Thrissur,Acute Hepatitis A,Reported,17,0
2025,10,2025-03-04,2025-03-06,Kerala,Wayanad,Chickenpox,Reported,6,0
2025,10,2025-02-27,2025-03-03,Madhya Pradesh,Chhatarpur,Measles,Reported,5,0
2025,10,2025-03-07,2025-03-07,Madhya Pradesh,Gwalior,Dengue,Reported,2,2
2025,10,2025-03-07,2025-03-07,Maharashtra,Latur,Chickenpox,Reported,22,0
2025,10,2025-02-27,2025-03-03,Maharashtra,Nagpur,Acute Diarrheal Disease,Reported,109,0
2025,10,2025-03-02,2025-03-03,Maharashtra,Nagpur,Acute Diarrheal Disease,Reported,61,0
2025,10,2025-03-07,2025-03-07,Maharashtra,Washim,Chikungunya,Reported,7,0
2025,10,2025-02-24,2025-03-03,Meghalaya,West Khasi Hills,,Reported,1,1
2025,10,2025-03-03,2025-03-05,Odisha,Ganjam,Cholera,Reported,39,0
2025,10,2025-03-05,2025-03-06,Odisha,Kendujhar,Acute Diarrheal Disease,Reported,10,1
2025,10,2025-02-28,2025-03-04,Rajasthan,Jaipur,Food Poisoning,Reported,37,0
2025,10,2025-03-08,2025-03-08,Tamil Nadu,Coimbatore,Chickenpox,Reported,12,0
2025,10,2025-03-07,2025-03-08,Tamil Nadu,Coimbatore,Mumps,Reported,21,0
2025,10,2025-03-07,2025-03-07,Tamil Nadu,Mayiladuthurai,Mumps,Reported,6,0
2025,10,2025-03-05,2025-03-05,Tamil Nadu,Mayiladuthurai,Mumps,Reported,4,0
2025,10,2025-03-03,2025-03-03,Tamil Nadu,Pudukkottai,Mumps,Reported,6,0
2025,10,2025-03-03,2025-03-03,Tamil Nadu,Ramanathapuram,Mumps,Reported,9,0
2025,10,2025-03-08,2025-03-08,Tamil Nadu,Tenkasi,Acute Hepatitis E,Reported,7,0
2025,10,2025-03-01,2025-03-03,Tamil Nadu,Thanjavur,Chickenpox,Reported,20,0
2025,10,2025-03-07,2025-03-07,Tamil Nadu,Vellore,Pertussis,Reported,1,0
2025,10,2025-02-28,2025-03-05,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,Reported,29,0
2025,10,2025-03-05,2025-03-06,West Bengal,Birbhum,Acute Gastroenteritis,Reported,278,0
2025,10,2025-03-03,2025-03-05,West Bengal,Birbhum,Acute Diarrheal Disease,Reported,22,0
2025,10,2025-03-04,2025-03-04,West Bengal,Birbhum,Acute Diarrheal Disease,Reported,96,0
2025,10,2025-03-06,2025-03-06,West Bengal,Medinipur East,Food Poisoning,Reported,59,0
